AT1G01010	ANAC001,NAC domain containing protein 1
AT1G01010.1	ANAC001,NAC domain containing protein 1
AT1G01040	ASU1,ABNORMAL SUSPENSOR 1,ATDCL1,DICER-LIKE 1,CAF,CARPEL FACTORY,EMB60,EMBRYO DEFECTIVE 60,EMB76,EMBRYO DEFECTIVE 76,SIN1,SHORT INTEGUMENTS 1,SUS1,SUSPENSOR 1
AT1G01040.1	ASU1,ABNORMAL SUSPENSOR 1,ATDCL1,DICER-LIKE 1,CAF,CARPEL FACTORY,EMB60,EMBRYO DEFECTIVE 60,EMB76,EMBRYO DEFECTIVE 76,SIN1,SHORT INTEGUMENTS 1,SUS1,SUSPENSOR 1
AT1G01040.2	ASU1,ABNORMAL SUSPENSOR 1,ATDCL1,DICER-LIKE 1,CAF,CARPEL FACTORY,EMB60,EMBRYO DEFECTIVE 60,EMB76,EMBRYO DEFECTIVE 76,SIN1,SHORT INTEGUMENTS 1,SUS1,SUSPENSOR 1
AT1G01050	AtPPa1,pyrophosphorylase 1
AT1G01050.1	AtPPa1,pyrophosphorylase 1
AT1G01060	LHY1,LATE ELONGATED HYPOCOTYL 1
AT1G01060.1	LHY1,LATE ELONGATED HYPOCOTYL 1
AT1G01060.2	LHY1,LATE ELONGATED HYPOCOTYL 1
AT1G01060.3	LHY1,LATE ELONGATED HYPOCOTYL 1
AT1G01060.4	LHY1,LATE ELONGATED HYPOCOTYL 1
AT1G01060.5	LHY1,LATE ELONGATED HYPOCOTYL 1
AT1G01140	PKS6,PROTEIN KINASE 6,SnRK3.12,SNF1-RELATED PROTEIN KINASE 3.12
AT1G01140.1	PKS6,PROTEIN KINASE 6,SnRK3.12,SNF1-RELATED PROTEIN KINASE 3.12
AT1G01140.2	PKS6,PROTEIN KINASE 6,SnRK3.12,SNF1-RELATED PROTEIN KINASE 3.12
AT1G01140.3	PKS6,PROTEIN KINASE 6,SnRK3.12,SNF1-RELATED PROTEIN KINASE 3.12
AT1G01183	MIR165,MICRORNA 165
AT1G01183.1	MIR165,MICRORNA 165
AT1G01200	ATRAB-A3,ARABIDOPSIS RAB GTPASE HOMOLOG A3,ATRABA3,RAB GTPase homolog A3
AT1G01200.1	ATRAB-A3,ARABIDOPSIS RAB GTPASE HOMOLOG A3,ATRABA3,RAB GTPase homolog A3
AT1G01220	AtFKGP,Arabidopsis thaliana L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01220.1	AtFKGP,Arabidopsis thaliana L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01260	JAM2,Jasmonate Associated MYC2 LIKE 2
AT1G01260.1	JAM2,Jasmonate Associated MYC2 LIKE 2
